timestamp,datetime,old_range_low,old_range_high,new_range_low,new_range_high,price,trigger,time_since_last,price_change_pct,volatility,rebalance_cost,swap_fee,slippage,gas_cost,portfolio_value
1738057883,2025-01-28 09:51:23,1732,1746,1737,1751,1.190604100391252,time,96468,0.048235511403630985,0.0118301988239206,5.008929432937323,4.999999902184388,6.076476673698734e-36,0.00892953075293439,9994.99087493584
1738154375,2025-01-29 12:39:35,1737,1751,1744,1758,1.1914594442676394,time,96492,0.07184116669061828,0.0139887274440656,5.006431581189539,4.997495635357532,6.067350974309118e-36,0.008935945832007295,9989.984839133875
1738250831,2025-01-30 15:27:11,1744,1758,1745,1759,1.191532677210061,time,96456,0.006146490572877059,0.0206859917108848,5.003929108757325,4.994992613678249,6.05823894677048e-36,0.008936495079075457,9984.981298247742
1738347455,2025-01-31 18:17:35,1745,1759,1744,1758,1.1913755724737107,time,96624,-0.013185096754381778,0.0342325150823285,5.001426424486361,4.992491107692809,6.049141556304114e-36,0.008935316793552832,9979.980788961131
1738443935,2025-02-01 21:05:35,1744,1758,1747,1761,1.1917392182416977,time,96480,0.030523184828434916,0.0050745129778015,4.998928924886503,4.98999088074969,6.04005792242342e-36,0.008938044136812734,9974.982832574493
1738540547,2025-02-02 23:55:47,1747,1761,1741,1755,1.1910983470073206,time,96612,-0.05377613026133415,0.1375610347109762,4.996424770306016,4.98749153270346,6.030986575008702e-36,0.008933237602554905,9969.986640636615
1738637087,2025-02-04 02:44:47,1741,1755,1733,1747,1.1901153708737302,time,96540,-0.08252686573364872,0.1669482393108987,4.993908409544547,4.984982544262994,6.021889377732896e-36,0.008925865281552977,9964.971180116445
1738733735,2025-02-05 05:35:35,1733,1747,1741,1755,1.1910185966837727,time,96648,0.07589397063071557,0.1024102667418499,4.991416552017323,4.982483912542194,6.0128388285069745e-36,0.008932639475128297,9959.976408532371
1738830227,2025-02-06 08:23:47,1741,1755,1747,1761,1.1917352661494447,time,96492,0.06017281910353172,0.0110263485195761,4.988926184101823,4.9799881696057025,6.003807800160542e-36,0.008938014496120836,9954.987413027304
1738926647,2025-02-07 11:10:47,1747,1761,1746,1760,1.1915964621258446,time,96420,-0.011647219608478724,0.0691538328808802,4.986430572447575,4.977493598981631,5.994790054883545e-36,0.008936973465943835,9950.000767390815
1739023103,2025-02-08 13:58:23,1746,1760,1752,1766,1.1924234563719238,time,96456,0.06940220723749504,0.0621400136712724,4.983943894280044,4.975000718357254,5.985787444010288e-36,0.00894317592278943,9945.017492820229
1739119571,2025-02-09 16:46:11,1752,1766,1754,1768,1.1926408074189556,time,96468,0.01822767288502639,0.0054229898225626,4.981453755710047,4.972508949654404,5.976797860182754e-36,0.008944806055642168,9940.036445553098
1739216123,2025-02-10 19:35:23,1754,1768,1754,1768,1.1925739890142066,time,96552,-0.005602558987863675,0.0113282045784283,4.978962999260323,4.970018694342716,5.967822733041815e-36,0.00894430491760655,9935.058425686171
